"kvartil","n","kvalita_presna","dopad_presna","vhodnost_presna"
1,174,0.96551724137931,0.807017543859649,0.485380116959064
2,173,0.959537572254335,0.763313609467456,0.617647058823529
3,173,0.947976878612717,0.781456953642384,0.682119205298013
4,173,1,0.848837209302326,0.552325581395349
