"metric","value","skript","data_sha","seed","datum"
"plocha_bez_vhodnosti_A12",59,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plna_bez_dopadu_A12",1,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"chybi_dopad_A12",64,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_jazykovy_n_A12",38,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_plocha_n_A12",113,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"komentar_dalsi_n_A12",21,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"otazniky_n_A12",0,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"tema_strojovy_preklad_n_A12",14,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"plocha_s_komentarem_A12",86,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plocha_n_A2",86,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plocha_podil_A2",0.0444,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"kvalita_plna_n_A2",1852,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_NEU_n_A2",251,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_NEU_podil_A2",0.1344,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_KU_n_A2",784,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_KU_podil_A2",0.4197,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_DU_n_A2",833,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"dopad_DU_podil_A2",0.4459,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_1_n_A2",11,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
"vhodnost_1_podil_A2",0.0059,"analyzy/notebooks/40_kvalita.qmd","d3551ffa8c12fc67315528a8a5f43867e5da3f705195311dbe54af7249d5ab34",20260714,"2026-09-08"
