metric,value,skript,data_sha,seed,datum
audit_n_vzorek,50,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_nalezu_flagovano,73,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_kazuistik_s_nalezem,19,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_identifikatoru,35,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_kazuistik_s_identifikatorem,7,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_fikce_pseudonym,20,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
audit_n_falesny_poplach,18,analyzy/scripts/19_audit_anonymizace.py,15bfff33c715a9069be560befa8a4bb2739e7b16006aebb4703b84c4f88536e1,20260716,2026-07-16
