"dimension","n","estimate","ci_lo","ci_hi"
"vhodnost",3314,-0.858780929390466,-0.902395432596365,-0.815166426184566
"reaktivni",3314,-1.0108630054315,-1.06792075931065,-0.95380525155235
"humanisticke",3306,0.762250453720508,0.70374892058967,0.820751986851347
"systemove",3314,-0.187085093542547,-0.249351495509515,-0.124818691575579
