model,varianta,reference,n,n_valid,n_invalid,coverage,acc,bal_acc,macro_f1,kappa,kappa_valid,recall_NEU,recall_KU,recall_DU,acc_ci_lo,acc_ci_hi,bal_acc_ci_lo,bal_acc_ci_hi,macro_f1_ci_lo,macro_f1_ci_hi,kappa_ci_lo,kappa_ci_hi
glm-5.3,few_shot,A12,601,594,7,0.9883527454242929,0.5540765391014975,0.6025992517167198,0.5692610228362969,0.3222555574724492,0.32784454502887456,0.6989247311827957,0.7169811320754716,0.3918918918918919,0.5124376039933444,0.5906821963394343,0.5572131041418567,0.6418531960494801,0.5265863075451762,0.606733780885375,0.26377156236512034,0.3779765155250758
glm-5.3,few_shot,A2,601,594,7,0.9883527454242929,0.5257903494176372,0.5924966135397373,0.5493236994530848,0.29406891776604555,0.29859406192923593,0.7052631578947368,0.7074468085106383,0.36477987421383645,0.4858569051580699,0.5657237936772047,0.5513630696862077,0.6306058315436296,0.5079137548176069,0.5876637724704199,0.23692893883613633,0.3492183663201806
glm-5.3,few_shot,konsenzus,487,481,6,0.9876796714579056,0.5585215605749486,0.632743474848738,0.5841749747122642,0.3441262324450958,0.35017646830680926,0.7662337662337663,0.7222222222222222,0.40977443609022557,0.5133470225872689,0.6016427104722792,0.5892548092318889,0.6742393004020425,0.5406114703362661,0.6241464890693637,0.28215599607682673,0.4021899205384708
glm-5.3,zero_shot,A12,601,594,7,0.9883527454242929,0.5257903494176372,0.5821165048188786,0.541134857500518,0.2854520651951725,0.2916255565946275,0.6989247311827957,0.7028301886792453,0.34459459459459457,0.4858569051580699,0.5674292845257903,0.539444958796366,0.6228160722210301,0.4996359575777502,0.5849226943801203,0.22662368390895973,0.3450298012888098
glm-5.3,zero_shot,A2,601,594,7,0.9883527454242929,0.4925124792013311,0.5693577581046152,0.5170159322464521,0.2526551829579044,0.2576432399788632,0.7052631578947368,0.6914893617021277,0.3113207547169811,0.4509151414309484,0.5357737104825291,0.525789166081717,0.6093472036429208,0.47534147622450756,0.5585798863217616,0.19654313363571266,0.30929422428188963
glm-5.3,zero_shot,konsenzus,487,481,6,0.9876796714579056,0.5215605749486653,0.6039261664261665,0.550925799346852,0.29596768689544767,0.30238189554928,0.7532467532467533,0.7013888888888888,0.35714285714285715,0.47433264887063653,0.5646817248459959,0.5605184423504996,0.6480862999768977,0.5046481501652295,0.5922763463674782,0.2310742831707398,0.3533116301819047
kimi-k3,zero_shot,A12,601,588,13,0.978369384359401,0.5224625623960066,0.5890393588963279,0.5417387988059074,0.2898262516469038,0.3002918490723369,0.7741935483870968,0.6179245283018868,0.375,0.4824875207986689,0.5640599001663894,0.5514229207652265,0.6275013015749917,0.5011804695186991,0.5817055875522044,0.23380860940365028,0.3450748741460032
kimi-k3,zero_shot,A2,601,588,13,0.978369384359401,0.4891846921797005,0.5665171224595679,0.5127257389981941,0.253739251421684,0.26207276312924993,0.7578947368421053,0.5957446808510638,0.34591194968553457,0.4509151414309484,0.5307820299500832,0.5271881413448458,0.6053222401205427,0.4736889576567157,0.552400628932866,0.19964227381572486,0.3091271394584269
kimi-k3,zero_shot,konsenzus,487,476,11,0.9774127310061602,0.5195071868583162,0.6002221462747778,0.5457388767446522,0.2983313835354966,0.3089682829019322,0.7922077922077922,0.625,0.38345864661654133,0.4742813141683778,0.5667351129363449,0.5565831850797823,0.6445239637159735,0.5002152461460437,0.5903523156687848,0.23157097350681688,0.3616078919563489
