comparison,n,difference,ci_lo,ci_hi
glm_vs_kimi,487,0.0037040201513887094,-0.038728322905582126,0.0481792179366597
few_vs_zero,487,0.028817308422571575,-0.011108518177743998,0.06508025720788332
