metric,value,skript,data_sha,seed,datum
predikce_glm_5_3_few_shot_a12_acc_ci_lo,0.5124,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_acc_ci_hi,0.5907,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_bal_acc_ci_lo,0.5572,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_bal_acc_ci_hi,0.6419,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_macro_f1_ci_lo,0.5266,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_macro_f1_ci_hi,0.6067,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_kappa_ci_lo,0.2638,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a12_kappa_ci_hi,0.378,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_n,601.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_n_valid,594.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_n_invalid,7.0,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_coverage,0.9884,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_acc,0.5258,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_bal_acc,0.5925,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_macro_f1,0.5493,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_kappa,0.2941,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_kappa_valid,0.2986,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
predikce_glm_5_3_few_shot_a2_recall_neu,0.7053,analyzy/scripts/29_predikce_offline.py,79c8d9f9ae9aba92689b6859747e0d1f56cabc74af9db34dd3b227bc8b781b56,20260714,2026-09-10
