metric,value,skript,data_sha,seed,datum
multiplicita_2x,790,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
multiplicita_3x,241,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
multiplicita_4x,20,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
prekryv_ge2_udalosti,1052,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
prekryv_ge1_udalost,3644,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
prekryv_ge2_kampane,973,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
prekryv_ge3_kampane,236,analyzy/scripts/15_kap4_cisla.py,2ea5570f9a150b236f3fcf1140c7d75f9cea294f609d2d5ebfee69d5d4096d02,,2026-09-08
