id,exact_overlap
383,0
1085,0
706,0
1240,0
1332,0
719,0
1281,0
1176,0
563,0
1083,0
475,0
1483,0
331,0
1388,0
818,0
77,0
375,0
1102,0
245,0
169,0
571,1
1376,0
652,0
968,0
1474,0
1175,0
60,0
1212,0
483,0
79,0
984,0
964,0
529,0
583,0
362,0
102,0
555,0
33,0
355,0
888,0
240,1
1363,0
1197,0
219,0
462,0
100,0
983,0
1035,0
621,0
1385,1
434,0
1171,0
222,0
1090,0
1043,0
1354,0
32,1
1346,0
1036,0
1209,0
1291,0
1062,0
1158,0
364,0
347,0
811,1
277,0
1045,1
562,0
454,0
297,0
629,0
999,0
987,0
200,0
148,0
299,1
619,0
332,0
567,1
136,0
1143,0
436,0
630,1
1356,0
597,0
1247,0
614,0
1486,0
1241,0
1432,0
763,0
1331,0
1010,0
319,0
1160,0
1378,1
13,0
172,0
410,0
1206,0
1322,1
574,1
919,0
468,1
322,0
6,0
1296,0
608,0
554,0
902,0
1053,0
1224,0
695,1
67,0
1038,0
1407,0
216,0
337,0
107,1
1503,0
742,1
786,0
1271,0
1251,0
466,1
281,0
53,0
546,0
1164,0
980,0
81,0
106,0
753,0
335,0
98,0
738,0
1348,0
1252,0
118,0
95,0
34,0
1107,0
911,0
1138,0
645,0
830,0
610,0
839,0
146,1
251,0
1452,0
1207,0
558,0
461,0
698,0
1500,0
1182,0
1431,0
1041,0
149,0
815,0
556,0
916,0
134,0
1115,0
409,0
387,0
829,0
476,0
1288,0
1177,0
173,0
451,0
126,0
989,0
1458,0
787,0
327,0
496,0
946,0
174,0
658,0
843,0
1111,0
223,0
42,0
1274,0
484,0
469,0
948,0
384,0
915,0
233,0
19,0
342,0
1133,0
1435,0
663,0
1094,0
761,0
729,0
413,0
826,0
115,0
90,0
691,0
852,0
896,0
258,0
1040,0
1016,0
1324,0
341,0
432,1
912,1
1211,0
1012,0
1009,1
697,0
154,0
1479,0
1505,0
790,0
791,0
117,0
1082,0
120,0
636,0
1457,1
992,0
774,0
444,0
1003,1
1078,0
838,0
1178,1
727,1
834,0
400,0
828,0
538,0
759,0
1063,1
246,0
785,0
490,1
155,0
854,0
570,1
1434,0
18,0
928,0
1477,0
191,0
1471,0
1329,0
1263,0
1070,0
477,0
1196,0
17,0
1073,0
547,0
284,0
798,0
438,0
1465,0
470,0
640,0
1371,0
957,0
914,0
1381,1
104,0
1336,1
1144,0
208,0
1425,0
9,0
1015,0
1351,0
897,0
1421,0
346,1
641,0
1418,0
929,0
1172,0
955,1
884,0
1372,1
401,0
123,0
1208,0
1330,0
220,0
2,0
699,0
442,0
1380,1
649,0
1283,0
1255,0
796,0
557,0
1060,0
1195,0
485,0
1265,0
743,1
864,0
871,0
1029,0
643,0
961,0
231,0
379,0
419,0
493,0
380,0
188,0
338,0
1276,0
270,0
202,0
402,0
566,1
1412,0
1105,0
509,0
1364,0
777,0
14,0
