case_uid,event,anotator,dimenze,poradi,hodnota
exp562,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp562,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp562,k1_naostro_05_24,A1,chovani,3,Porušování třídních/školních pravidel
exp562,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp562,k1_naostro_05_24,A1,reseni,2,Důsledky
exp562,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp1145,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp1145,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp1145,k1_naostro_05_24,A1,reseni,1,Upozornění
exp1145,k1_naostro_05_24,A1,reseni,2,Důsledky
exp1145,k1_naostro_05_24,A1,reseni,3,Podpora
exp1145,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp390,k1_naostro_05_24,A1,chovani,1,Verbální narušování výuky
exp390,k1_naostro_05_24,A1,chovani,2,Neverbální narušování výuky
exp390,k1_naostro_05_24,A1,reseni,1,Podpora
exp390,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp584,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp584,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp584,k1_naostro_05_24,A1,reseni,2,Důsledky
exp584,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1174,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
mat1174,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1174,k1_naostro_05_24,A1,reseni,2,Přemístění žáka
mat1174,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
mat176,k1_naostro_05_24,A1,chovani,1,Diagnóza
mat1085,k1_naostro_05_24,A1,chovani,1,Šikana
mat1085,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1085,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp700,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp700,k1_naostro_05_24,A1,reseni,1,Přemístění žáka
exp700,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1103,k1_naostro_05_24,A1,chovani,1,Sebedestruktivní chování
mat1103,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
mat1103,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1103,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
mat1103,k1_naostro_05_24,A1,reseni,3,Podpora
mat1103,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1437,k1_naostro_05_24,A1,chovani,1,Verbální agrese
mat1437,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1437,k1_naostro_05_24,A1,reseni,2,Podpora
mat1437,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp1237,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp1237,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp1237,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp312,k1_naostro_05_24,A1,chovani,1,Neverbální narušování výuky
exp312,k1_naostro_05_24,A1,chovani,2,Porušování třídních/školních pravidel
exp312,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp312,k1_naostro_05_24,A1,reseni,2,Důsledky
exp312,k1_naostro_05_24,A1,dopad,1,Neúspěch
