case_uid,event,anotator,dimenze,poradi,hodnota
exp863,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp863,k1_naostro_05_24,A1,chovani,2,Neverbální narušování výuky
exp863,k1_naostro_05_24,A1,chovani,3,Verbální agrese
exp863,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp863,k1_naostro_05_24,A1,reseni,2,Dohoda
exp863,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp785,k1_naostro_05_24,A1,chovani,1,Šikana
exp785,k1_naostro_05_24,A1,chovani,2,Porušování třídních/školních pravidel
exp785,k1_naostro_05_24,A1,reseni,1,Práce s kolektivem
exp785,k1_naostro_05_24,A1,reseni,2,Důsledky
exp785,k1_naostro_05_24,A1,reseni,3,Podpora
exp785,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat1332,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
mat1332,k1_naostro_05_24,A1,reseni,1,Dohoda
mat1332,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat922,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
mat922,k1_naostro_05_24,A1,chovani,2,Verbální agrese
mat922,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat922,k1_naostro_05_24,A1,reseni,2,Důsledky
mat922,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp469,k1_naostro_05_24,A1,chovani,1,Verbální narušování výuky
exp469,k1_naostro_05_24,A1,chovani,2,Problémy s docházkou
exp469,k1_naostro_05_24,A1,chovani,3,Neplnění školních povinností/nepřipravenost na výuku
exp469,k1_naostro_05_24,A1,chovani,4,Emoční výbuchy
exp469,k1_naostro_05_24,A1,chovani,5,Diagnóza
exp469,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp469,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp469,k1_naostro_05_24,A1,reseni,3,Podpora
exp469,k1_naostro_05_24,A1,reseni,4,Nerespektující komunikace
exp469,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat985,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
mat985,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
mat985,k1_naostro_05_24,A1,chovani,3,Verbální narušování výuky
mat985,k1_naostro_05_24,A1,chovani,4,Neverbální narušování výuky
mat985,k1_naostro_05_24,A1,reseni,1,Upozornění
mat985,k1_naostro_05_24,A1,reseni,2,Rozhovor
mat985,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
mat985,k1_naostro_05_24,A1,reseni,4,Podpora
mat985,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
mat498,k1_naostro_05_24,A1,chovani,1,Verbální agrese
mat498,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
mat498,k1_naostro_05_24,A1,reseni,1,Nerespektující komunikace
mat498,k1_naostro_05_24,A1,reseni,2,Podpora
mat498,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp1123,k1_naostro_05_24,A1,reseni,1,Práce s kolektivem
exp1123,k1_naostro_05_24,A1,reseni,2,Podpora
exp1123,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp670,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp670,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
exp670,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp670,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp670,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp321,k1_naostro_05_24,A1,chovani,1,Emoční výbuchy
exp321,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
exp321,k1_naostro_05_24,A1,chovani,3,Nezvládání výuky
exp321,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp321,k1_naostro_05_24,A1,reseni,2,Podpora
exp321,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp426,k1_naostro_05_24,A1,chovani,1,Neverbální narušování výuky
exp426,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
exp426,k1_naostro_05_24,A1,chovani,3,Nevěnování se výuce/Nepozornost při výuce
exp426,k1_naostro_05_24,A1,chovani,4,Fyzická agrese
exp426,k1_naostro_05_24,A1,chovani,5,Verbální agrese
exp426,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp426,k1_naostro_05_24,A1,reseni,2,Důsledky
exp426,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
exp426,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat1226,k1_naostro_05_24,A1,chovani,1,Verbální narušování výuky
mat1226,k1_naostro_05_24,A1,chovani,2,Diagnóza
mat1226,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1226,k1_naostro_05_24,A1,reseni,2,Dohoda
exp941,k1_naostro_05_24,A1,chovani,1,Emoční výbuchy
exp941,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
exp941,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp941,k1_naostro_05_24,A1,reseni,2,Podpora
exp941,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp1498,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp1498,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp1498,k1_naostro_05_24,A1,chovani,3,Porušování třídních/školních pravidel
exp1498,k1_naostro_05_24,A1,chovani,4,Emoční výbuchy
exp1498,k1_naostro_05_24,A1,chovani,5,Lhaní a podvody
exp1498,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp1498,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp1498,k1_naostro_05_24,A1,reseni,3,Práce s kolektivem
exp1498,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp1480,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp1480,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
exp1480,k1_naostro_05_24,A1,chovani,3,Verbální narušování výuky
exp1480,k1_naostro_05_24,A1,chovani,4,Neverbální narušování výuky
exp1480,k1_naostro_05_24,A1,chovani,5,Diagnóza
exp1480,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp1480,k1_naostro_05_24,A1,reseni,2,Podpora
exp1480,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat901,k1_naostro_05_24,A1,chovani,1,Neplnění školních povinností/nepřipravenost na výuku
mat901,k1_naostro_05_24,A1,chovani,2,Verbální agrese
mat901,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat901,k1_naostro_05_24,A1,reseni,2,Podpora
mat901,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
mat901,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1410,k1_naostro_05_24,A1,chovani,1,Šikana
mat1410,k1_naostro_05_24,A1,chovani,2,Problémy s docházkou
mat1410,k1_naostro_05_24,A1,reseni,1,Práce s kolektivem
mat1410,k1_naostro_05_24,A1,reseni,2,Rozhovor
mat1410,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp1230,k1_naostro_05_24,A1,chovani,1,Verbální narušování výuky
exp1230,k1_naostro_05_24,A1,reseni,1,Upozornění
exp1230,k1_naostro_05_24,A1,reseni,2,Přemístění žáka
exp1230,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp146,k1_naostro_05_24,A1,chovani,1,Neverbální narušování výuky
exp146,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
exp146,k1_naostro_05_24,A1,chovani,3,Neplnění školních povinností/nepřipravenost na výuku
exp146,k1_naostro_05_24,A1,chovani,4,Verbální agrese
exp146,k1_naostro_05_24,A1,chovani,5,Nevěnování se výuce/Nepozornost při výuce
exp146,k1_naostro_05_24,A1,chovani,6,Porušování třídních/školních pravidel
exp146,k1_naostro_05_24,A1,reseni,1,Přemístění žáka
exp146,k1_naostro_05_24,A1,reseni,2,Důsledky
exp146,k1_naostro_05_24,A1,reseni,3,Nerespektující komunikace
exp146,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat372,k1_naostro_05_24,A1,chovani,1,Emoční výbuchy
mat372,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
mat372,k1_naostro_05_24,A1,chovani,3,Neplnění školních povinností/nepřipravenost na výuku
mat372,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat372,k1_naostro_05_24,A1,reseni,2,Podpora
mat372,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp457,k1_naostro_05_24,A1,chovani,1,Nezvládání výuky
exp457,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp457,k1_naostro_05_24,A1,reseni,2,Podpora
exp457,k1_naostro_05_24,A1,reseni,3,Přemístění žáka
exp457,k1_naostro_05_24,A1,dopad,1,Krátkodobý úspěch
exp457,k1_naostro_05_24,A1,dopad,2,Částečný úspěch
exp316,k1_naostro_05_24,A1,chovani,1,Sebedestruktivní chování
exp316,k1_naostro_05_24,A1,chovani,2,Emoční výbuchy
exp316,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp316,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp316,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat719,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
mat719,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
mat719,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat719,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp1148,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp1148,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp1148,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp1148,k1_naostro_05_24,A1,reseni,3,Přemístění žáka
exp1148,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp1280,k1_naostro_05_24,A1,chovani,1,Neverbální narušování výuky
exp1280,k1_naostro_05_24,A1,reseni,1,Podpora
exp1280,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1176,k1_naostro_05_24,A1,chovani,1,Verbální narušování výuky
mat1176,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
mat1176,k1_naostro_05_24,A1,reseni,1,Upozornění
mat1176,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
mat1382,k1_naostro_05_24,A1,chovani,1,Problémy s docházkou
mat1382,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1382,k1_naostro_05_24,A1,reseni,2,Důsledky
mat1382,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp69,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp69,k1_naostro_05_24,A1,chovani,2,Problémy s docházkou
exp69,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp69,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp69,k1_naostro_05_24,A1,reseni,3,Důsledky
exp69,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp1104,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp1104,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp1104,k1_naostro_05_24,A1,chovani,3,Neverbální narušování výuky
exp1104,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp419,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp419,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp419,k1_naostro_05_24,A1,reseni,1,Přemístění žáka
exp419,k1_naostro_05_24,A1,reseni,2,Rozhovor
exp419,k1_naostro_05_24,A1,reseni,3,Podpora
exp419,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1049,k1_naostro_05_24,A1,chovani,1,Diagnóza
exp283,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp283,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp283,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp283,k1_naostro_05_24,A1,reseni,2,Důsledky
exp283,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp331,k1_naostro_05_24,A1,chovani,1,Diagnóza
exp331,k1_naostro_05_24,A1,chovani,2,Emoční výbuchy
exp331,k1_naostro_05_24,A1,chovani,3,Fyzická agrese
exp331,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp331,k1_naostro_05_24,A1,reseni,2,Podpora
exp331,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp46,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp46,k1_naostro_05_24,A1,chovani,2,Šikana
exp46,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp46,k1_naostro_05_24,A1,reseni,2,Důsledky
exp46,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp626,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp626,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp626,k1_naostro_05_24,A1,chovani,3,Verbální narušování výuky
exp626,k1_naostro_05_24,A1,chovani,4,Šikana
exp626,k1_naostro_05_24,A1,reseni,1,Upozornění
exp626,k1_naostro_05_24,A1,reseni,2,Důsledky
exp626,k1_naostro_05_24,A1,reseni,3,Rozhovor
exp626,k1_naostro_05_24,A1,reseni,4,Přemístění žáka
exp626,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp421,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp421,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
exp421,k1_naostro_05_24,A1,chovani,3,Neverbální narušování výuky
exp421,k1_naostro_05_24,A1,chovani,4,Fyzická agrese
exp421,k1_naostro_05_24,A1,reseni,1,Upozornění
exp421,k1_naostro_05_24,A1,reseni,2,Přemístění žáka
exp421,k1_naostro_05_24,A1,reseni,3,Nerespektující komunikace
exp421,k1_naostro_05_24,A1,reseni,4,Rozhovor
exp421,k1_naostro_05_24,A1,reseni,5,Spolupráce s odborníky
exp421,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp233,k1_naostro_05_24,A1,chovani,1,Šikana
exp233,k1_naostro_05_24,A1,chovani,2,Diagnóza
exp233,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp233,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp233,k1_naostro_05_24,A1,reseni,3,Práce s kolektivem
exp233,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp516,k1_naostro_05_24,A1,chovani,1,Sebedestruktivní chování
exp516,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp516,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp516,k1_naostro_05_24,A1,reseni,3,Podpora
exp516,k1_naostro_05_24,A1,reseni,4,Práce s kolektivem
exp516,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
,k1_naostro_05_24,A1,chovani,1,Emoční výbuchy
,k1_naostro_05_24,A1,reseni,1,Přemístění žáka
,k1_naostro_05_24,A1,reseni,2,Rozhovor
,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp675,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp675,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
exp675,k1_naostro_05_24,A1,chovani,3,Neverbální narušování výuky
exp675,k1_naostro_05_24,A1,chovani,4,Verbální narušování výuky
exp675,k1_naostro_05_24,A1,reseni,1,Upozornění
exp675,k1_naostro_05_24,A1,reseni,2,Rozhovor
exp675,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
exp675,k1_naostro_05_24,A1,reseni,4,Práce s kolektivem
exp675,k1_naostro_05_24,A1,reseni,5,Podpora
exp675,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp678,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp678,k1_naostro_05_24,A1,chovani,2,Verbální narušování výuky
exp678,k1_naostro_05_24,A1,chovani,3,Neverbální narušování výuky
exp678,k1_naostro_05_24,A1,chovani,4,Verbální agrese
exp678,k1_naostro_05_24,A1,reseni,1,Nerespektující komunikace
exp678,k1_naostro_05_24,A1,reseni,2,(Kázeňské) Tresty
exp678,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat904,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
mat904,k1_naostro_05_24,A1,reseni,1,Upozornění
mat904,k1_naostro_05_24,A1,reseni,2,Důsledky
mat904,k1_naostro_05_24,A1,reseni,3,Přemístění žáka
mat904,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp651,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp651,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp651,k1_naostro_05_24,A1,chovani,3,Porušování třídních/školních pravidel
exp651,k1_naostro_05_24,A1,chovani,4,Šikana
exp651,k1_naostro_05_24,A1,reseni,1,Spolupráce s odborníky
exp651,k1_naostro_05_24,A1,reseni,2,Práce s kolektivem
exp651,k1_naostro_05_24,A1,reseni,3,Rozhovor
exp651,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat1155,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1155,k1_naostro_05_24,A1,reseni,2,Práce s kolektivem
mat1155,k1_naostro_05_24,A1,dopad,1,Neúspěch
,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
,k1_naostro_05_24,A1,chovani,3,Lhaní a podvody
,k1_naostro_05_24,A1,chovani,4,Fyzická agrese
,k1_naostro_05_24,A1,chovani,5,Verbální agrese
,k1_naostro_05_24,A1,chovani,6,Šikana
,k1_naostro_05_24,A1,chovani,7,Diagnóza
,k1_naostro_05_24,A1,reseni,1,Rozhovor
,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
,k1_naostro_05_24,A1,reseni,3,Důsledky
,k1_naostro_05_24,A1,reseni,4,Přemístění žáka
,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp1277,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp1277,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp1277,k1_naostro_05_24,A1,chovani,3,Diagnóza
exp1277,k1_naostro_05_24,A1,chovani,4,Problémy s docházkou
exp1277,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp1277,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
exp1277,k1_naostro_05_24,A1,reseni,3,Podpora
exp1277,k1_naostro_05_24,A1,reseni,4,Přemístění žáka
exp1277,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp561,k1_naostro_05_24,A1,chovani,1,Emoční výbuchy
exp561,k1_naostro_05_24,A1,chovani,2,Nevěnování se výuce/Nepozornost při výuce
exp561,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp561,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp695,k1_naostro_05_24,A1,chovani,1,Problémy s docházkou
exp695,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp695,k1_naostro_05_24,A1,chovani,3,Diagnóza
exp695,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp695,k1_naostro_05_24,A1,reseni,2,Podpora
exp695,k1_naostro_05_24,A1,reseni,3,Spolupráce s odborníky
exp695,k1_naostro_05_24,A1,dopad,1,Neúspěch
mat958,k1_naostro_05_24,A1,chovani,1,Sebedestruktivní chování
mat958,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat958,k1_naostro_05_24,A1,reseni,2,Spolupráce s odborníky
mat958,k1_naostro_05_24,A1,reseni,3,Podpora
mat958,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
mat190,k1_naostro_05_24,A1,chovani,1,Diagnóza
mat190,k1_naostro_05_24,A1,chovani,2,Emoční výbuchy
mat190,k1_naostro_05_24,A1,chovani,3,Lhaní a podvody
mat190,k1_naostro_05_24,A1,reseni,1,Podpora
mat190,k1_naostro_05_24,A1,reseni,2,Rozhovor
mat190,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp973,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp973,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp973,k1_naostro_05_24,A1,chovani,3,Problémy s docházkou
exp973,k1_naostro_05_24,A1,reseni,1,Podpora
exp973,k1_naostro_05_24,A1,reseni,2,Rozhovor
exp973,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
exp694,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp694,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp694,k1_naostro_05_24,A1,chovani,3,Porušování třídních/školních pravidel
exp694,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp694,k1_naostro_05_24,A1,reseni,2,Důsledky
exp694,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp508,k1_naostro_05_24,A1,chovani,1,Nevěnování se výuce/Nepozornost při výuce
exp508,k1_naostro_05_24,A1,chovani,2,Neplnění školních povinností/nepřipravenost na výuku
exp508,k1_naostro_05_24,A1,chovani,3,Diagnóza
exp508,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp508,k1_naostro_05_24,A1,reseni,2,Podpora
exp508,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
mat1083,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
mat1083,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
mat1083,k1_naostro_05_24,A1,reseni,1,Rozhovor
mat1083,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp475,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp475,k1_naostro_05_24,A1,reseni,1,Upozornění
exp475,k1_naostro_05_24,A1,dopad,1,Dlouhodobý úspěch
exp855,k1_naostro_05_24,A1,chovani,1,Verbální agrese
exp855,k1_naostro_05_24,A1,chovani,2,Neverbální narušování výuky
exp855,k1_naostro_05_24,A1,chovani,3,Verbální narušování výuky
exp855,k1_naostro_05_24,A1,reseni,1,(Kázeňské) Tresty
exp855,k1_naostro_05_24,A1,reseni,2,Rozhovor
exp855,k1_naostro_05_24,A1,reseni,3,Důsledky
exp855,k1_naostro_05_24,A1,reseni,4,Podpora
exp855,k1_naostro_05_24,A1,reseni,5,Nerespektující komunikace
exp855,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp744,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp744,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
exp744,k1_naostro_05_24,A1,reseni,1,Rozhovor
exp744,k1_naostro_05_24,A1,reseni,2,Důsledky
exp744,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp249,k1_naostro_05_24,A1,chovani,1,Fyzická agrese
exp249,k1_naostro_05_24,A1,chovani,2,Verbální agrese
exp249,k1_naostro_05_24,A1,reseni,1,Upozornění
exp249,k1_naostro_05_24,A1,reseni,2,Přemístění žáka
exp249,k1_naostro_05_24,A1,reseni,3,Rozhovor
exp249,k1_naostro_05_24,A1,reseni,4,Spolupráce s odborníky
exp249,k1_naostro_05_24,A1,reseni,5,Nerespektující komunikace
exp249,k1_naostro_05_24,A1,dopad,1,Neúspěch
exp14,k1_naostro_05_24,A1,chovani,1,Porušování třídních/školních pravidel
exp14,k1_naostro_05_24,A1,chovani,2,Lhaní a podvody
exp14,k1_naostro_05_24,A1,chovani,3,Emoční výbuchy
exp14,k1_naostro_05_24,A1,chovani,4,Neplnění školních povinností/nepřipravenost na výuku
exp14,k1_naostro_05_24,A1,reseni,1,Spolupráce s odborníky
exp14,k1_naostro_05_24,A1,reseni,2,Rozhovor
exp14,k1_naostro_05_24,A1,reseni,3,Nerespektující komunikace
exp14,k1_naostro_05_24,A1,dopad,1,Částečný úspěch
mat1338,k1_naostro_05_24,A1,chovani,1,Diagnóza
mat1338,k1_naostro_05_24,A1,chovani,2,Fyzická agrese
mat1338,k1_naostro_05_24,A1,chovani,3,Sebedestruktivní chování
mat1338,k1_naostro_05_24,A1,reseni,1,Rozhovor
